Content,Video title,Video publish time,Duration,Likes,Dislikes,Shares,YouTube Premium views,Regular viewers,Casual viewers,Average views per viewer,New viewers,Unique viewers,Stayed to watch (%),Average view duration,Engaged views,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
4t22utMFZqw,Pointallism Portrait of Rihanna  #art #portrait,"Apr 4, 2025",49,14,1,0,159,,,,,,25.77,0:00:20,520,1807,3.4239,0,262,1.53
KCel7K9WhXE,Painting Challenge Part 3 #artist #portrait,"Feb 6, 2025",60,16,2,0,32,,,,,,33.29,0:00:25,472,472,3.3827,0,2329,2.28
7uUEMBvhC3k,Pointillism Painting of @adele  #art #portrait,"Mar 11, 2025",56,15,1,0,40,,,,,,26.7,0:00:22,535,537,3.3825,1,851,0.71
Dv2p8ZlDcRk,Painting Challenge Part 4 #artist #tomato,"Feb 7, 2025",53,19,2,0,47,,,,,,30.35,0:00:22,533,535,3.3516,0,4161,1.01
hYH3mycyAYo,Come oil paint with me Part 2 #oilpaint #art,"Jul 18, 2025",45,12,2,1,137,,,,,,31.34,0:00:19,525,1461,3.3151,1,50,0
RjCZUQZVDUA,Color invert of Girl with a Pearl Earring  #art #painting,"Jan 10, 2025",11,37,1,0,77,,,,,,44.05,0:00:19,588,608,3.2503,0,1271,1.26
QneenOj095Y,Come oil paint with me Part 4  #oilpaint#art,"Jul 27, 2025",48,20,0,1,201,,,,,,34.75,0:00:20,508,1394,3.2492,1,34,23.53
256yEtT81VA,Painting Challenge Part 12  #artistchallenge#chappellroan,"Feb 26, 2025",38,22,0,0,70,,,,,,32.46,0:00:22,497,498,3.1747,1,697,3.3
byfL6BmCePQ,Day 10 of painting a portrait every day till Christmas #mileycyrus  #art #painting,"Dec 23, 2024",52,17,3,0,50,,,,,,36.19,0:00:24,460,460,3.0671,4,362,0.55
mOqMZhMruhM,Golden Hour Art  #painting #art,"Mar 8, 2025",61,15,1,0,46,,,,,,27.33,0:00:18,608,608,3.0639,0,194,1.03
bqksptVLI8E,Last day of painting portraits every day till Christmas #adele  #art #painting,"Dec 25, 2024",49,12,3,0,41,,,,,,41.48,0:00:25,433,436,3.0256,0,390,0.51
